Nom,Id_Club,Club,Catégorie,Volee_1_Score_1,Volee_1_Score_2,Volee_1_Score_3,Volee_1_Score_4,Volee_1_Score_5,Volee_1_Score_6,Volee_2_Score_1,Volee_2_Score_2,Volee_2_Score_3,Volee_2_Score_4,Volee_2_Score_5,Volee_2_Score_6,Volee_3_Score_1,Volee_3_Score_2,Volee_3_Score_3,Volee_3_Score_4,Volee_3_Score_5,Volee_3_Score_6,Volee_4_Score_1,Volee_4_Score_2,Volee_4_Score_3,Volee_4_Score_4,Volee_4_Score_5,Volee_4_Score_6,Volee_5_Score_1,Volee_5_Score_2,Volee_5_Score_3,Volee_5_Score_4,Volee_5_Score_5,Volee_5_Score_6,Volee_6_Score_1,Volee_6_Score_2,Volee_6_Score_3,Volee_6_Score_4,Volee_6_Score_5,Volee_6_Score_6
Bloch Emily,1313051,Marseille,CL S2F,X,9,7,7,6,4,9,7,7,7,6,4,9,8,8,8,7,7,10,10,9,9,8,8,9,9,8,8,7,7,9,8,8,7,7,7
Fouace-Peoux Alexandra,0950072,Cherbourg En Cotentin,CL S2F,9,9,8,7,7,6,X,9,7,7,6,6,9,9,8,8,7,7,10,9,8,8,8,7,8,8,8,8,7,6,9,9,9,8,8,5
Fouace-Peoux Alexandra,0950072,Cherbourg En Cotentin,CL S2F,9,9,7,7,6,M,10,10,10,9,9,8,10,9,9,9,8,1,10,9,8,8,5,5,10,9,9,8,7,6,10,9,8,8,7,6
Chesnais Claire,1166191,Perpignan,CL S1F,X,10,10,6,6,6,X,8,7,5,2,M,9,7,7,5,4,3,9,8,7,7,6,6,8,8,7,7,5,2,9,8,7,7,6,6
Chesnais Claire,1166191,Perpignan,CL S1F,9,9,8,8,8,6,X,9,8,7,6,4,9,9,8,8,6,5,10,8,8,7,5,4,9,8,4,3,2,1,8,8,7,6,6,3
Glemet Ophelie,1313051,Marseille,CL S1F,9,9,9,9,8,8,X,9,9,8,8,6,10,9,9,9,7,5,X,9,9,9,9,8,10,10,9,8,8,7,10,10,10,9,8,5
Glemet Ophelie,1313051,Marseille,CL S1F,X,10,10,10,9,8,10,10,8,8,8,7,X,10,9,9,8,7,X,9,9,9,9,9,9,9,9,8,7,7,10,9,9,8,8,8
Lacoume Marlene,0950072,Cherbourg En Cotentin,CL S2F,9,9,8,8,7,6,9,8,8,7,7,6,10,9,8,8,7,6,X,X,9,9,8,7,9,8,8,8,5,5,9,9,9,9,8,7
Lacoume Marlene,0950072,Cherbourg En Cotentin,CL S2F,10,9,8,8,7,7,X,9,8,8,7,7,10,9,9,7,7,6,10,9,9,9,7,4,10,9,8,8,6,5,9,9,8,8,8,7
Pernot Clara,1166191,Perpignan,CL S1F,7,6,6,6,5,M,10,9,9,7,6,2,10,8,7,5,5,3,9,8,8,7,7,1,10,9,7,6,6,3,10,8,8,7,6,4
Pernot Clara,1166191,Perpignan,CL S1F,X,9,7,6,4,2,9,7,7,5,3,M,9,8,8,6,1,M,10,8,8,7,6,2,9,8,8,7,5,5,X,10,8,5,5,4
Ruggieri Laura,1313051,Marseille,CL S1F,X,X,X,9,9,5,X,8,8,7,6,6,X,10,9,9,8,6,9,9,8,8,7,6,X,10,9,9,8,7,9,9,9,8,7,3
Ruggieri Laura,1313051,Marseille,CL S1F,10,9,8,8,7,7,9,9,8,8,8,4,9,9,8,8,7,7,10,9,9,8,7,6,8,7,7,6,6,5,9,8,7,7,6,6
Bassimon Lou,0762288,Monchy Au Bois,CL S1F,X,8,8,6,6,5,9,9,8,8,5,4,10,9,9,8,7,6,9,9,7,7,6,6,9,9,8,8,7,5,10,9,8,8,8,4
Bassimon Lou,0762288,Monchy Au Bois,CL S1F,8,8,8,7,7,7,8,8,7,7,7,6,10,10,9,8,6,4,9,8,7,7,5,4,X,9,9,8,6,6,X,9,7,7,7,6
Bardary Marion,1033110,Auros,CL S1F,9,9,9,8,8,8,X,10,10,9,9,8,10,9,9,8,8,7,9,9,9,8,8,7,10,10,9,9,8,7,X,10,10,10,9,8
Bardary Marion,1033110,Auros,CL S1F,10,10,9,9,7,7,10,10,9,9,9,8,X,9,8,8,7,7,10,10,9,8,8,7,X,10,8,8,7,7,X,10,10,8,8,8
Constantin Alizee,1285122,Fontenay Le Comte,CL S1F,10,9,9,9,7,5,9,8,7,6,6,4,9,8,8,7,7,5,10,9,9,8,8,6,X,9,8,7,7,6,10,8,8,7,7,6
Constantin Alizee,1285122,Fontenay Le Comte,CL S1F,9,9,8,8,8,7,9,8,8,7,7,6,9,8,7,7,5,5,8,8,7,6,5,3,8,8,7,7,7,2,8,8,7,7,5,5
Braule Camille,0762288,Monchy Au Bois,CL U21F,8,6,5,5,5,4,10,8,8,6,6,5,9,8,7,7,7,M,9,9,8,7,7,4,8,8,6,6,5,5,8,8,7,6,5,5
Braule Camille,0762288,Monchy Au Bois,CL U21F,9,8,6,6,6,6,9,8,7,7,5,4,10,8,7,6,6,6,X,X,8,7,7,3,10,9,7,5,5,1,9,9,8,6,6,4
Laporte Pauline,1033110,Auros,CL S1F,X,9,9,9,8,8,9,9,8,8,8,7,10,9,9,8,8,6,10,9,8,8,7,7,10,10,8,8,7,3,X,9,8,7,7,6
Laporte Pauline,1033110,Auros,CL S1F,9,9,9,9,8,6,9,9,8,8,7,1,X,9,8,7,7,5,10,9,8,7,7,7,8,7,7,7,6,5,10,9,9,8,7,5
Constantin Ambre,1285122,Fontenay Le Comte,CL U21F,9,8,7,7,7,6,9,8,8,7,4,2,9,9,8,7,6,1,9,9,9,6,6,6,9,8,7,7,6,6,9,7,6,5,4,4
Constantin Ambre,1285122,Fontenay Le Comte,CL U21F,10,8,7,7,7,3,9,9,8,8,7,2,8,6,6,6,6,6,10,8,8,7,3,3,8,6,5,5,4,M,7,7,6,5,5,M
Francois Charlotte,0762288,Monchy Au Bois,CL U18F,8,7,6,5,5,M,8,7,6,6,5,3,10,7,6,6,4,M,10,9,9,8,7,5,9,9,9,8,8,6,9,9,7,6,5,5
Francois Charlotte,0762288,Monchy Au Bois,CL U18F,9,7,6,6,4,4,10,9,8,7,6,5,9,9,7,7,3,1,9,8,8,8,7,6,9,8,8,6,6,4,X,9,6,6,6,4
Michel Julie,1033110,Auros,CL S1F,8,8,7,6,5,5,X,9,8,8,7,6,10,8,7,7,6,4,9,9,9,8,7,6,9,8,8,6,5,M,X,8,7,5,5,M
Michel Julie,1033110,Auros,CL S1F,9,6,6,5,5,4,9,9,9,8,7,4,9,8,8,8,6,6,X,10,9,8,8,5,9,9,7,7,6,5,8,8,7,7,6,5
Constantin Mylene,1285122,Fontenay Le Comte,CL S2F,8,8,7,6,5,4,10,9,8,7,7,M,9,8,8,7,7,6,9,9,8,7,7,5,10,10,9,8,7,5,X,10,8,8,8,7
Constantin Mylene,1285122,Fontenay Le Comte,CL S2F,9,9,8,8,7,7,X,9,9,9,9,4,9,8,8,8,8,8,10,9,9,8,8,6,X,9,8,8,7,6,8,8,6,6,6,5
Mercher Justine,0762288,Monchy Au Bois,CL S1F,9,9,9,9,7,5,X,8,8,6,5,M,9,9,6,5,5,3,10,8,8,7,7,4,8,8,7,7,7,4,9,7,6,M,M,M
Mercher Justine,0762288,Monchy Au Bois,CL S1F,X,10,9,8,7,7,9,8,7,7,7,2,X,9,9,8,M,M,9,8,8,7,6,5,8,7,7,7,7,6,9,9,8,7,7,7
Szostak Leeloo,1033110,Auros,CL U21F,10,9,7,6,6,6,10,9,9,7,6,3,8,7,7,6,5,4,9,9,8,8,7,7,10,9,9,8,7,6,10,8,8,7,7,6
Szostak Leeloo,1033110,Auros,CL U21F,9,9,8,8,7,7,X,10,8,7,7,5,10,10,10,9,6,5,9,8,8,8,7,5,9,8,8,8,7,4,10,9,9,9,8,7
Covillers Emma,1285122,Fontenay Le Comte,CL S1F,8,8,6,6,5,4,10,9,6,6,6,3,9,8,6,6,5,4,X,8,8,8,7,7,8,6,5,5,5,3,9,8,7,7,6,6
Covillers Emma,1285122,Fontenay Le Comte,CL S1F,9,9,8,7,7,7,9,9,8,8,7,6,9,8,8,8,7,7,10,8,7,4,2,M,8,7,7,5,4,3,9,8,7,5,4,4
Randriantsara Lai-Tsan,3597022,Saint Denis De La Reunion,CL U21F,X,10,9,8,7,7,10,10,10,8,8,8,10,8,8,8,8,5,10,10,9,9,8,6,X,9,9,9,9,7,10,9,9,8,7,6
Randriantsara Lai-Tsan,3597022,Saint Denis De La Reunion,CL U21F,X,X,9,9,8,7,X,10,9,9,8,8,X,X,10,9,9,8,X,X,9,8,8,7,X,9,9,9,7,7,10,10,9,9,8,7
Guedj Aurelie,1016003,Ruelle Sur Touvre,CL S1F,9,9,9,7,6,6,8,8,8,7,6,5,9,8,8,5,5,4,10,10,9,9,8,7,9,9,9,8,8,6,9,8,8,8,6,M
Guedj Aurelie,1016003,Ruelle Sur Touvre,CL S1F,X,9,8,8,7,7,10,10,9,8,6,5,9,9,9,8,7,7,10,10,9,9,8,7,8,8,8,7,6,6,10,9,9,8,7,7
Belibi-Mbassi Eleanor,0891175,Draveil Senart,CL U18F,10,7,6,6,5,4,8,7,7,7,6,5,10,9,9,8,8,7,10,10,9,9,9,8,10,10,10,9,8,7,9,9,9,8,7,6
Belibi-Mbassi Eleanor,0891175,Draveil Senart,CL U18F,X,9,9,9,8,8,9,9,9,9,8,8,9,9,9,9,8,7,X,9,9,9,9,8,9,9,9,8,8,5,X,9,9,9,9,6
Joussaume Thierry,1249050,Cholet Tac,CO S2H,10,10,10,9,9,9,10,10,9,8,8,8,10,10,9,9,9,9,10,10,10,9,8,8,X,10,10,10,9,9,X,10,10,10,10,10
Joussaume Thierry,1249050,Cholet Tac,CO S2H,X,10,10,10,10,9,10,10,9,9,9,8,X,10,9,9,9,9,10,10,9,9,9,6,X,10,10,9,9,8,10,10,10,9,8,8
Cailleaud Anthony,0437083,St Avertin,CO S1H,10,10,9,9,9,8,X,10,10,10,10,9,X,10,10,9,9,9,10,9,9,9,9,9,X,X,10,10,9,9,X,X,X,10,9,9
Cailleaud Anthony,0437083,St Avertin,CO S1H,X,10,10,10,10,10,X,10,10,9,9,8,X,10,10,9,9,9,X,X,X,9,9,8,X,X,X,10,9,8,X,10,9,9,9,8
Bouleau Victor,0760197,Beauvais,CO S1H,10,10,10,9,9,9,X,10,10,10,10,9,X,X,X,10,9,9,X,X,X,10,10,9,10,10,10,10,9,9,X,X,10,10,10,10
Bouleau Victor,0760197,Beauvais,CO S1H,X,X,10,10,9,8,X,10,10,10,9,8,X,X,10,10,10,10,X,X,10,10,9,9,X,X,10,10,10,9,X,X,X,10,9,9
Julien Simon,0335067,Rennes Cie,CO S1H,X,10,10,9,9,9,10,10,9,9,9,8,10,9,9,8,8,7,10,10,9,9,9,9,X,10,10,10,9,8,X,X,9,9,9,7
Julien Simon,0335067,Rennes Cie,CO S1H,X,X,9,9,9,9,X,10,10,10,10,9,X,10,10,10,9,9,X,10,9,8,8,7,X,10,10,9,8,7,X,10,10,10,9,8
Vandercamere Maxime,0892193,Rueil Malmaison Star,CO S2H,X,10,9,9,9,8,10,10,9,9,9,9,X,X,X,9,9,9,10,10,9,9,9,8,X,10,10,9,9,9,X,10,10,9,9,9
Vandercamere Maxime,0892193,Rueil Malmaison Star,CO S2H,X,10,9,9,8,8,X,10,10,10,9,9,X,X,10,10,9,9,X,X,10,10,9,8,X,X,X,10,9,9,10,9,9,8,8,8
Espeu Ewen,0437083,St Avertin,CO S1H,X,10,10,9,9,9,X,10,10,9,9,9,10,10,9,9,9,8,X,10,10,9,9,8,X,10,9,9,9,8,X,10,10,10,9,9
Espeu Ewen,0437083,St Avertin,CO S1H,X,10,9,9,9,9,10,10,10,9,9,9,X,10,9,9,9,9,X,10,10,9,9,9,10,9,9,9,9,9,X,X,10,9,8,8
Angot Corentin,0335067,Rennes Cie,CO S1H,9,9,9,9,9,8,X,X,X,X,9,9,X,10,9,9,9,9,10,10,9,9,9,9,10,10,10,9,9,8,X,X,9,9,9,6
Angot Corentin,0335067,Rennes Cie,CO S1H,X,X,10,10,9,8,X,X,9,9,9,8,X,X,10,10,10,10,X,10,10,9,9,8,10,10,9,9,9,9,10,10,9,9,9,9
Alouani Neil,0892193,Rueil Malmaison Star,CO S1H,10,9,9,9,9,8,10,10,10,9,9,8,X,10,9,9,9,8,10,9,9,9,9,8,10,10,9,8,8,8,10,9,9,9,9,9
Alouani Neil,0892193,Rueil Malmaison Star,CO S1H,X,10,9,9,9,9,X,10,10,9,9,9,10,10,9,9,9,8,X,10,10,10,9,9,X,X,10,9,9,8,X,X,10,9,9,8
Charaudeau Alexis,1313090,St Martin De Crau,CO S1H,X,10,9,9,9,8,X,X,10,9,9,9,X,10,10,10,9,9,X,10,10,9,9,9,X,10,9,9,8,8,X,10,10,9,9,8
Charaudeau Alexis,1313090,St Martin De Crau,CO S1H,X,10,10,10,10,9,10,9,9,9,9,8,X,10,10,10,9,9,X,X,10,10,9,9,X,10,10,10,9,9,X,X,10,10,10,9
Baraer Quentin,0335067,Rennes Cie,CO S1H,X,10,10,10,10,8,X,X,10,9,9,9,X,10,10,9,9,9,X,10,10,10,9,9,X,X,10,9,9,9,10,10,10,9,9,9
Baraer Quentin,0335067,Rennes Cie,CO S1H,X,X,X,X,10,9,10,10,10,10,10,9,X,X,10,9,9,9,X,10,10,10,9,9,X,X,X,10,10,9,X,10,10,9,9,9
Boulch Jean Philippe,0892193,Rueil Malmaison Star,CO S1H,X,X,10,10,10,10,X,X,X,10,10,9,X,10,9,9,9,9,X,X,X,X,X,10,10,10,10,10,10,9,X,X,X,X,X,10
Boulch Jean Philippe,0892193,Rueil Malmaison Star,CO S1H,X,X,X,X,9,9,X,X,10,10,10,9,X,10,10,10,10,9,X,X,X,X,10,9,X,X,10,10,9,9,X,10,10,10,9,9
Girard Nicolas,1313090,St Martin De Crau,CO S1H,X,10,10,10,9,9,X,X,10,10,9,9,X,X,X,10,10,9,X,X,X,10,10,10,X,X,10,10,10,7,X,X,X,10,10,9
Girard Nicolas,1313090,St Martin De Crau,CO S1H,X,X,10,10,10,9,X,X,X,10,10,8,X,X,10,10,10,6,X,X,10,10,10,9,X,X,10,10,9,9,X,X,X,X,10,9
Dubois Francois,0335067,Rennes Cie,CO S1H,X,10,10,9,9,9,10,10,10,10,10,9,X,X,X,X,10,10,X,10,10,10,10,9,X,10,10,10,9,9,X,X,10,10,9,9
Dubois Francois,0335067,Rennes Cie,CO S1H,10,10,9,9,9,9,X,X,X,10,10,9,X,10,10,10,10,10,X,X,X,X,10,9,X,X,X,X,10,9,10,10,10,9,9,9
Delobelle Fabien,0892193,Rueil Malmaison Star,CO S2H,X,X,10,10,9,9,10,10,10,10,9,9,X,X,10,10,10,10,10,10,10,10,9,9,X,X,X,10,10,10,X,X,10,10,10,9
Delobelle Fabien,0892193,Rueil Malmaison Star,CO S2H,X,X,10,10,9,9,X,X,10,10,10,9,X,10,9,9,9,9,X,10,10,10,9,9,X,X,X,10,10,8,X,X,X,X,9,9
Lorthioir Yann,1313090,St Martin De Crau,CO S1H,X,X,X,9,9,9,X,X,X,10,9,9,X,10,10,10,10,9,X,X,10,9,9,9,X,X,10,9,9,8,X,X,10,10,9,9
Lorthioir Yann,1313090,St Martin De Crau,CO S1H,X,X,10,10,9,9,X,X,10,10,10,9,X,10,10,9,9,9,10,10,9,9,9,9,X,10,10,10,10,9,X,10,10,9,9,9
Dupuis Anthony,0335067,Rennes Cie,CO S1H,X,X,10,10,10,9,10,10,9,9,9,9,X,10,9,9,9,8,X,10,10,9,9,9,X,10,9,9,9,8,X,10,10,10,10,8
Dupuis Anthony,0335067,Rennes Cie,CO S1H,X,X,X,9,9,9,X,X,10,9,9,9,X,X,X,10,10,9,X,X,9,9,9,9,10,10,10,9,9,9,X,10,10,10,9,9
Moine Maxence,0892193,Rueil Malmaison Star,CO S1H,X,X,10,9,9,8,X,X,10,10,10,9,X,10,9,9,8,8,X,10,10,10,9,9,X,10,10,9,9,9,X,10,10,9,9,9
Moine Maxence,0892193,Rueil Malmaison Star,CO S1H,X,10,10,10,10,9,10,10,10,9,9,8,10,10,9,9,9,9,X,X,10,10,10,9,X,X,10,10,9,9,X,10,10,9,9,8
Parpillon Julien,1313090,St Martin De Crau,CO S1H,X,10,9,9,8,8,X,10,10,9,9,9,X,X,10,9,9,9,X,X,10,10,9,9,X,10,9,9,8,8,X,X,10,9,9,8
Parpillon Julien,1313090,St Martin De Crau,CO S1H,X,10,10,9,9,9,10,10,9,9,9,8,10,10,10,10,10,9,X,10,10,10,9,9,X,X,10,10,9,9,10,10,10,9,9,9
Art Matteo,0760171,Compiegne,CO U21H,X,10,10,9,9,9,X,10,10,9,8,8,X,10,9,9,9,8,10,10,10,9,9,9,10,10,10,9,9,9,X,10,10,10,9,9
Art Matteo,0760171,Compiegne,CO U21H,10,10,10,10,9,9,10,10,10,10,9,9,X,10,10,10,9,8,X,10,10,9,9,9,X,10,9,9,9,9,X,10,10,9,9,8
Chauveau Baptiste,1016003,Ruelle Sur Touvre,CO S1H,X,X,10,10,10,9,X,10,9,9,9,7,X,X,X,10,10,9,10,9,9,9,9,8,X,9,9,9,9,8,X,10,10,9,9,9
Chauveau Baptiste,1016003,Ruelle Sur Touvre,CO S1H,X,10,10,10,10,9,X,10,9,9,9,9,X,X,10,10,9,9,X,X,10,10,9,9,X,9,9,9,9,8,X,X,X,9,9,9
Guerin Maxime,0221014,Dijon,CO S1H,X,10,10,10,10,9,X,10,10,10,9,8,X,X,10,10,9,8,X,X,10,10,10,9,10,10,9,9,8,7,X,X,X,9,9,8
Guerin Maxime,0221014,Dijon,CO S1H,X,X,X,X,9,9,X,10,10,10,9,9,X,10,10,10,9,9,X,X,10,10,10,9,X,10,9,9,9,9,10,9,9,8,8,8
Ganne Thierry,0760171,Compiegne,CO S3H,X,9,9,9,9,8,X,9,9,8,8,7,X,9,9,9,9,9,10,9,9,9,8,8,10,10,9,9,9,9,X,10,9,9,8,8
Ganne Thierry,0760171,Compiegne,CO S3H,X,X,10,10,9,8,10,9,9,9,9,7,10,9,9,8,8,8,10,9,9,9,9,8,10,10,9,9,9,8,X,9,9,9,9,9
Peyrondet Francois,1016003,Ruelle Sur Touvre,CO S2H,X,10,10,9,9,9,X,10,9,9,9,8,X,10,10,10,9,9,X,X,X,9,9,9,X,10,9,9,9,9,10,10,10,9,9,8
Peyrondet Francois,1016003,Ruelle Sur Touvre,CO S2H,X,X,10,10,9,9,X,9,9,9,9,8,X,10,9,9,9,8,X,10,10,9,9,9,10,9,9,9,9,8,X,10,9,9,8,8
Lamarche Thomas,0221014,Dijon,CO S1H,10,9,9,9,8,8,10,10,10,9,9,9,X,10,9,9,8,8,X,10,9,9,9,9,X,X,10,9,9,8,10,9,9,9,9,9
Lamarche Thomas,0221014,Dijon,CO S1H,10,9,9,9,9,8,10,9,9,9,8,8,X,10,10,10,9,9,X,10,9,9,9,9,10,9,9,9,9,9,X,9,9,9,8,7
Humetz Guillaume,0760171,Compiegne,CO S2H,X,X,10,10,10,10,X,10,10,9,9,8,X,10,10,9,9,9,X,10,9,9,9,9,X,10,9,9,9,8,X,X,10,9,9,8
Humetz Guillaume,0760171,Compiegne,CO S2H,X,X,10,10,10,9,X,X,10,10,10,9,X,X,X,10,10,7,10,10,9,9,8,8,10,10,9,9,9,9,10,10,10,9,9,9
Saunier Francois,1016003,Ruelle Sur Touvre,CO S2H,10,10,10,9,9,9,10,9,9,9,9,8,X,X,X,10,9,9,X,X,9,9,9,9,X,X,X,10,9,8,10,10,10,9,9,9
Saunier Francois,1016003,Ruelle Sur Touvre,CO S2H,X,10,10,10,10,9,X,X,10,10,9,9,X,X,X,10,10,9,10,10,10,10,9,9,X,10,10,9,9,9,10,9,9,9,9,8
Larpenteur Bastien,0221014,Dijon,CO S2H,X,X,10,9,9,8,10,9,9,9,9,9,X,10,10,9,9,8,X,10,10,9,9,9,X,10,9,9,9,9,10,10,9,9,9,9
Larpenteur Bastien,0221014,Dijon,CO S2H,X,10,10,9,9,9,X,X,10,9,9,8,X,10,10,9,9,8,10,10,9,9,9,9,X,10,9,9,9,8,10,10,10,9,9,8
